
==========================================================================================
SOFTMAX GOLDEN MODEL -- TEST SUMMARY
==========================================================================================
MSE target  : <= 0.025
Avg MSE     : 1.026383e-04
Max MSE     : 8.580966e-03
Overall     : ALL PASS
==========================================================================================
Test  0 | bin neg_extreme  N=8  LOW      | N= 8 | MSE=1.8891e-04 | MAE=8.6976e-03 | MaxAE=3.3653e-02 | Sum_hw=1.0004 | PASS
Test  1 | bin neg_high     N=8  LOW      | N= 8 | MSE=3.4981e-03 | MAE=4.8018e-02 | MaxAE=1.2610e-01 | Sum_hw=1.3841 | PASS
Test  2 | bin neg_low      N=8  LOW      | N= 8 | MSE=6.6846e-03 | MAE=7.6414e-02 | MaxAE=1.4431e-01 | Sum_hw=1.6113 | PASS
Test  3 | bin pos_low      N=8  LOW      | N= 8 | MSE=6.6846e-03 | MAE=7.6414e-02 | MaxAE=1.4431e-01 | Sum_hw=1.6113 | PASS
Test  4 | bin pos_high     N=8  LOW      | N= 8 | MSE=3.4981e-03 | MAE=4.8018e-02 | MaxAE=1.2610e-01 | Sum_hw=1.3841 | PASS
Test  5 | bin pos_extreme  N=8  LOW      | N= 8 | MSE=1.8891e-04 | MAE=8.6976e-03 | MaxAE=3.3653e-02 | Sum_hw=1.0004 | PASS
Test  6 | bin neg_extreme  N=8  HIGH     | N= 8 | MSE=5.8543e-04 | MAE=8.5545e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test  7 | bin neg_high     N=8  HIGH     | N= 8 | MSE=4.2078e-04 | MAE=7.6828e-03 | MaxAE=5.7910e-02 | Sum_hw=0.9385 | PASS
Test  8 | bin neg_low      N=8  HIGH     | N= 8 | MSE=8.3520e-04 | MAE=1.2346e-02 | MaxAE=8.0980e-02 | Sum_hw=1.0703 | PASS
Test  9 | bin pos_low      N=8  HIGH     | N= 8 | MSE=1.0967e-05 | MAE=1.6251e-03 | MaxAE=9.0208e-03 | Sum_hw=0.9870 | PASS
Test 10 | bin pos_high     N=8  HIGH     | N= 8 | MSE=5.8543e-04 | MAE=8.5545e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 11 | bin pos_extreme  N=8  HIGH     | N= 8 | MSE=5.8543e-04 | MAE=8.5545e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 12 | all 6 bins symmetric  N=6      | N= 6 | MSE=7.8057e-04 | MAE=1.1406e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 13 | bimodal extremes      N=8      | N= 8 | MSE=1.4629e-04 | MAE=8.5526e-03 | MaxAE=1.7105e-02 | Sum_hw=0.9316 | PASS
Test 14 | bin boundaries        N=9      | N= 9 | MSE=3.6074e-04 | MAE=8.4325e-03 | MaxAE=5.1488e-02 | Sum_hw=1.0271 | PASS
Test 15 | neg dominant          N=7      | N= 7 | MSE=4.7109e-04 | MAE=1.0934e-02 | MaxAE=5.2103e-02 | Sum_hw=1.0277 | PASS
Test 16 | pos dominant          N=7      | N= 7 | MSE=6.6906e-04 | MAE=9.7765e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 17 | half neg / half pos   N=8      | N= 8 | MSE=1.4636e-04 | MAE=8.5602e-03 | MaxAE=1.7109e-02 | Sum_hw=0.9315 | PASS
Test 18 | step across bins      N=12     | N=12 | MSE=3.9029e-04 | MAE=5.7030e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 19 | alt extremes          N=8      | N= 8 | MSE=1.4629e-04 | MAE=8.5526e-03 | MaxAE=1.7105e-02 | Sum_hw=0.9316 | PASS
Test 20 | alt highs             N=8      | N= 8 | MSE=1.4629e-04 | MAE=8.5526e-03 | MaxAE=1.7105e-02 | Sum_hw=0.9316 | PASS
Test 21 | alt lows              N=8      | N= 8 | MSE=1.4636e-04 | MAE=8.5602e-03 | MaxAE=1.7109e-02 | Sum_hw=0.9315 | PASS
Test 22 | zeros + one extreme   N=8      | N= 8 | MSE=5.8543e-04 | MAE=8.5545e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 23 | zeros + one neg_extr  N=8      | N= 8 | MSE=3.5450e-07 | MAE=5.5695e-04 | MaxAE=6.3651e-04 | Sum_hw=1.0045 | PASS
Test 24 | zero variance        N=8       | N= 8 | MSE=7.2755e-05 | MAE=8.5297e-03 | MaxAE=8.5297e-03 | Sum_hw=0.9318 | PASS
Test 25 | equal pos            N=8       | N= 8 | MSE=7.2755e-05 | MAE=8.5297e-03 | MaxAE=8.5297e-03 | Sum_hw=0.9318 | PASS
Test 26 | equal neg            N=8       | N= 8 | MSE=7.2755e-05 | MAE=8.5297e-03 | MaxAE=8.5297e-03 | Sum_hw=0.9318 | PASS
Test 27 | tight 100 ±0.01      N=8       | N= 8 | MSE=8.5810e-03 | MAE=8.9773e-02 | MaxAE=1.5020e-01 | Sum_hw=1.7182 | PASS
Test 28 | wide -300..400       N=8       | N= 8 | MSE=5.8543e-04 | MAE=8.5545e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 29 | very wide -32k..32k  N=4       | N= 4 | MSE=1.1709e-03 | MAE=1.7109e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 30 | N=1  single positive           | N= 1 | MSE=4.6834e-03 | MAE=6.8436e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 31 | N=2  cross bins                | N= 2 | MSE=2.3417e-03 | MAE=3.4218e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 32 | N=4  across all bin signs      | N= 4 | MSE=1.1709e-03 | MAE=1.7109e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 33 | N=16 wide cross-bin sweep      | N=16 | MSE=2.9272e-04 | MAE=4.2772e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 34 | N=32 ascending across bins     | N=32 | MSE=1.4225e-04 | MAE=2.1234e-03 | MaxAE=6.7466e-02 | Sum_hw=0.9321 | PASS
Test 35 | N=64 alternating extremes      | N=64 | MSE=2.8331e-06 | MAE=1.1902e-03 | MaxAE=2.3804e-03 | Sum_hw=0.9238 | PASS
Test 36 | one_hot start            N=8   | N= 8 | MSE=5.8543e-04 | MAE=8.5545e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 37 | one_hot end              N=8   | N= 8 | MSE=5.8543e-04 | MAE=8.5545e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 38 | one_hot middle           N=16  | N=16 | MSE=2.9272e-04 | MAE=4.2772e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 39 | ascending                N=8   | N= 8 | MSE=8.6608e-04 | MAE=1.2581e-02 | MaxAE=8.2557e-02 | Sum_hw=1.0720 | PASS
Test 40 | descending               N=8   | N= 8 | MSE=4.9945e-04 | MAE=1.0559e-02 | MaxAE=6.0981e-02 | Sum_hw=1.0396 | PASS
Test 41 | uniform                  N=8   | N= 8 | MSE=7.2755e-05 | MAE=8.5297e-03 | MaxAE=8.5297e-03 | Sum_hw=0.9318 | PASS
Test 42 | near uniform             N=8   | N= 8 | MSE=3.8836e-04 | MAE=1.3279e-02 | MaxAE=5.1803e-02 | Sum_hw=1.1062 | PASS
Test 43 | boundary -201            N=4   | N= 4 | MSE=2.9258e-04 | MAE=1.7105e-02 | MaxAE=1.7105e-02 | Sum_hw=0.9316 | PASS
Test 44 | boundary +201            N=4   | N= 4 | MSE=2.9258e-04 | MAE=1.7105e-02 | MaxAE=1.7105e-02 | Sum_hw=0.9316 | PASS
Test 45 | boundary -11 / -10             | N= 4 | MSE=4.0602e-04 | MAE=1.8977e-02 | MaxAE=2.5752e-02 | Sum_hw=1.0271 | PASS
Test 46 | boundary +10 / +11             | N= 4 | MSE=4.0602e-04 | MAE=1.8977e-02 | MaxAE=2.5752e-02 | Sum_hw=1.0271 | PASS
Test 47 | Q16.16 range edges       N=2   | N= 2 | MSE=2.3417e-03 | MAE=3.4218e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 48 | alt low                  N=16  | N=16 | MSE=3.4805e-05 | MAE=4.2191e-03 | MaxAE=8.3427e-03 | Sum_hw=0.9325 | PASS
Test 49 | alt high                 N=16  | N=16 | MSE=3.6378e-05 | MAE=4.2648e-03 | MaxAE=8.5297e-03 | Sum_hw=0.9318 | PASS
Test 50 | rand-000 N=374                 | N=374 | MSE=1.8785e-05 | MAE=3.3565e-04 | MaxAE=6.4093e-02 | Sum_hw=1.0027 | PASS
Test 51 | rand-001 N=423                 | N=423 | MSE=1.9454e-06 | MAE=1.1134e-04 | MaxAE=2.4816e-02 | Sum_hw=1.0025 | PASS
Test 52 | rand-002 N=350                 | N=350 | MSE=1.1248e-05 | MAE=1.8851e-04 | MaxAE=6.2663e-02 | Sum_hw=0.9340 | PASS
